日期,指数
2021/03/05,1224
2021/03/12,1220
2021/03/19,1191
2021/03/26,1180
2021/04/02,1125
2021/04/09,1144
2021/04/16,1150
2021/04/23,1198
2021/04/30,1240
2021/05/07,1294
2021/05/14,1401
2021/05/21,1405
2021/05/28,1482
2021/06/04,1527
2021/06/11,1536
2021/06/18,1510
2021/06/25,1508
2021/07/02,1496
2021/07/09,1442
2021/07/16,1391
2021/07/23,1374
2021/07/30,1333
2021/08/06,1410
2021/08/13,1448
2021/08/20,1498
2021/08/27,1600
2021/09/03,1619
2021/09/10,1679
2021/09/17,1698
2021/09/24,1690
2021/10/01,1601
2021/10/08,1540
2021/10/15,1494
2021/10/22,1481
2021/10/29,1518
2021/11/05,1592
2021/11/12,1657
2021/11/19,1726
2021/11/26,1751
2021/12/03,1820
2021/12/10,1851
2021/12/17,1877
